rxn,model,F_model,F_dft,mae_force,maxcomp_err,unstable,lambda_min,nfod,breaking_depth,unstable_model,lambda_min_model,breaking_depth_model
rxn5690,esen,0.022978,0.153524,0.048118,0.153462,1,-0.00267845,0.433383,1.264,1,-0.01186355,25.176
rxn5690,uma-m,0.028315,0.109817,0.022624,0.091162,1,-0.00267845,0.433383,1.264,1,-0.01327819,31.266
rxn5690,uma-s,0.027574,0.184252,0.035963,0.191867,1,-0.00267845,0.433383,1.264,1,-0.01259854,28.291
rxn5691,esen,0.056420,0.069892,0.020490,0.069256,1,-0.02901643,0.777668,155.862,1,-0.12294294,1601.740
rxn5691,uma-m,0.089586,0.083352,0.014010,0.064531,1,-0.02901643,0.777668,155.862,1,-0.12451290,1725.813
rxn5691,uma-s,0.040946,0.148152,0.028368,0.148398,1,-0.02901643,0.777668,155.862,1,-0.12242375,1592.608
rxn6196,esen,0.123285,0.139643,0.019582,0.085689,1,-0.00686553,0.868898,10.728,1,-0.01670804,68.770
rxn6196,uma-m,0.118054,0.143261,0.015091,0.075651,1,-0.00686553,0.868898,10.728,1,-0.01616959,64.229
rxn6196,uma-s,0.110232,0.091872,0.036252,0.120735,1,-0.00686553,0.868898,10.728,1,-0.01727953,72.157
rxn7060,esen,0.028368,1.125770,0.204415,1.139550,1,-0.00790376,0.788126,22.067,0,0.00287771,0.000
rxn7060,uma-m,0.002260,0.334743,0.075550,0.336801,1,-0.00790376,0.788126,22.067,0,0.00134274,0.000
rxn7060,uma-s,0.018863,0.884263,0.159314,0.889963,1,-0.00790376,0.788126,22.067,0,0.00277234,0.000
rxn7936,esen,0.121745,0.159720,0.054737,0.281465,0,0.00814121,0.727138,0.000,0,0.00675328,0.000
rxn7936,uma-m,0.050618,0.066063,0.021357,0.093845,0,0.00814121,0.727138,0.000,0,0.00774078,0.000
rxn7936,uma-s,0.031175,0.111686,0.027183,0.113246,0,0.00814121,0.727138,0.000,0,0.00740978,0.000
rxn7937,esen,0.002154,0.225005,0.041421,0.225016,0,0.00732605,0.877471,0.000,0,0.00809465,0.000
rxn7937,uma-m,0.002191,0.036709,0.011974,0.037137,0,0.00732605,0.877471,0.000,0,0.01002328,0.000
rxn7937,uma-s,0.017209,0.099984,0.021978,0.096037,0,0.00732605,0.877471,0.000,0,0.01016451,0.000
rxn7945,esen,0.047060,0.131483,0.032384,0.108527,0,0.00433698,0.903300,0.000,0,0.06166561,0.000
rxn7945,uma-m,0.015445,0.081322,0.015970,0.082985,0,0.00433698,0.903300,0.000,0,0.00659788,0.000
rxn7945,uma-s,0.014622,0.058574,0.020104,0.059093,0,0.00433698,0.903300,0.000,0,0.00847590,0.000
rxn7949,esen,0.010209,0.073540,0.016111,0.071013,1,-0.06314606,1.146495,559.624,1,-0.11127076,1338.845
rxn7949,uma-m,0.003623,0.047292,0.010065,0.046564,1,-0.06314606,1.146495,559.624,1,-0.11017929,1318.972
rxn7949,uma-s,0.004342,0.240684,0.051352,0.240632,1,-0.06314606,1.146495,559.624,1,-0.10803443,1276.672
rxn7955,esen,0.049481,0.045952,0.015222,0.046131,0,0.07484705,0.219052,0.000,0,0.07469055,0.000
rxn7955,uma-m,0.050726,0.037332,0.008544,0.045407,0,0.07484705,0.219052,0.000,0,0.07461616,0.000
rxn7955,uma-s,0.046752,0.060340,0.012619,0.042330,0,0.07484705,0.219052,0.000,0,0.07452387,0.000
